F;A;M;Z;element;J;decay mode;% branch;excitation energy [MeV];Q [MeV];T½;abundance;atomic mass [MeV];uncertain in mass [MeV];S;date;T½ [s]
;1;;0;n;1/2+;B-;100.00;0.0000;0.782;10.183 M 17;;8.0713;0.0000;;10Se14;6.11E+02
;1;;1;H;1/2+;;;0.0000;0.000;STABLE;99.9885% 70;7.2890;0.0000;;200601;0.00E+00
;2;;1;H;1+;;;0.0000;0.000;STABLE;0.0115% 70;13.1357;0.0000;;200309;0.00E+00
;3;;1;H;1/2+;B-;100.00;0.0000;0.019;12.32 Y 2;;14.9498;0.0000;;200007;3.89E+08
;4;;1;H;2-;N;100.00;0.0000;2.880;;;24.6210;0.1000;;199807;0.00E+00
;5;;1;H;(1/2+);2N;100.00;0.0000;1.800;5.7 MEV 21;;32.8920;0.0890;;NUBASE;8.33E-23
;6;;1;H;(2-);N;100.00;0.0000;0.900;1.6 MEV 4;;41.8750;0.2540;;200212;2.97E-22
;7;;1;H;(1/2+);2N?;;;0.000;29E-23 Y 7;;47.9350;0.3510;;03KO11;9.15E-15
;3;;2;He;1/2+;;;0.0000;0.000;STABLE;0.000134% 3;14.9312;0.0000;;870312;0.00E+00
;4;;2;He;0+;;;0.0000;0.000;STABLE;99.999866% 3;2.4249;0.0000;;199807;0.00E+00
;5;;2;He;3/2-;A;100.00;0.0000;0.890;0.60 MEV 2;;11.2310;0.0200;;840808;7.91E-22
;5;;2;He;3/2-;N;100.00;0.0000;0.890;0.60 MEV 2;;11.2310;0.0200;;840808;7.91E-22
;6;;2;He;0+;B-;100.00;0.0000;3.508;801 MS 10;;17.5920;0.0000;;09RA33;8.01E-01
;7;;2;He;(3/2)-;N;;0.0000;0.435;150 KEV 20;;26.0670;0.0080;;200302;3.16E-21
;8;;2;He;0+;B-;100.00;0.0000;10.651;119.1 MS 12;;31.6090;0.0000;;200505;1.19E-01
;8;;2;He;0+;BN;16.00;0.0000;8.619;119.1 MS 12;;31.6090;0.0000;;200505;1.19E-01
;9;;2;He;1/2+;N;100.00;0.0000;1.270;;;39.7800;0.0600;;200602;0.00E+00
;10;;2;He;0+;N;100.00;0.0000;-0.202;300 KEV 200;;48.8090;0.0700;;200705;1.58E-21
;3;;3;Li;;P;?;;0.000;unbound;;28.6670;2.0000;S;;0.00E+00
;4;;3;Li;2-;P;100.00;0.0000;3.103;6.03 MEV;;25.3230;0.2120;;980707;7.87E-23
;5;;3;Li;3/2-;P;100.00;0.0000;1.965;1.5 MEV AP;;11.6780;0.0500;;840808;3.16E-22
;5;;3;Li;3/2-;A;100.00;0.0000;1.965;1.5 MEV AP;;11.6780;0.0500;;840808;3.16E-22
;6;;3;Li;1+;;;0.0000;0.000;STABLE;7.59% 4;14.0869;0.0000;;200212;0.00E+00
;7;;3;Li;3/2-;;;0.0000;0.000;STABLE;92.41% 4;14.9071;0.0000;;200302;0.00E+00
;8;;3;Li;2+;B-;100.00;0.0000;16.005;839.9 MS 9;;20.9450;0.0000;;200505;8.40E-01
;8;;3;Li;2+;BA;100.00;0.0000;0.000;839.9 MS 9;;20.9450;0.0000;;200505;8.40E-01
!;8;M;3;Li;1+;IT;100.00;0.9808;0.981;8.2 FS 23;;21.9258;0.0000;;200505;8.20E-15
;9;;3;Li;3/2-;B-;100.00;0.0000;13.607;178.3 MS 4;;24.9540;0.0000;;200602;1.78E-01
;9;;3;Li;3/2-;BN;50.80;0.0000;11.941;178.3 MS 4;;24.9540;0.0000;;200602;1.78E-01
;10;;3;Li;(1-,2-);N;100.00;0.0000;0.025;;;33.0520;0.0120;;200705;0.00E+00
;11;;3;Li;3/2-;B-;100.00;0.0000;20.623;8.75 MS 14;;40.7280;0.0010;;03AU02;8.75E-03
;11;;3;Li;3/2-;BN;83.0;0.0000;20.119;8.75 MS 14;;40.7280;0.0010;;05HI03;8.75E-03
;11;;3;Li;3/2-;B2N;4.1;0.0000;20.120;8.75 MS 14;;40.7280;0.0010;;05HI03;8.75E-03
;11;;3;Li;3/2-;BNA;0.027;0.0000;12.710;8.75 MS 14;;40.7280;0.0010;;920826;8.75E-03
;12;;3;Li;;N;?;;1.227;10 NS LT;;48.9190;0.0150;;NUBASE;1.00E-08
;13;;3;Li;;;;;0.000;;;58.3410;0.3500;;;0.00E+00
